Time(s),Voltage(V),Current(mA)
0.0,-0.5436134,-4.714866336633662
0.1600019931793213,0.021111200000000073,-5.727671881188118
0.2401289939880371,0.021111200000000073,-3.0113388118811883
0.31612229347229004,0.021111200000000073,-1.3353641584158416
0.392122745513916,0.021111200000000073,-0.6104386138613863
0.4681260585784912,0.021111200000000073,-0.2764788118811877
0.5441265106201172,0.01919200000000007,-0.09025940594059308
0.6201305389404297,0.02859607999999999,-0.02042712871287062
0.6960711479187012,0.037904199999999874,0.044179603960396184
0.7721264362335205,0.03598499999999987,0.09976039603960432
0.8481149673461914,0.037904199999999874,0.14726534653465387
0.9241323471069336,0.03598499999999987,0.19762059405940552
1.0001258850097656,0.03982339999999988,0.19714554455445482
1.075969934463501,0.03694459999999987,0.2113970297029697
1.1521251201629639,0.047308279999999904,0.19239504950494984
1.2281222343444824,0.05469719999999993,0.2208980198019796
1.304121971130371,0.05469719999999993,0.22089801980197957
1.3800928592681885,0.05479315999999993,0.2398999999999994
1.4561247825622559,0.05661639999999994,0.24892594059405884
1.5321261882781982,0.05469719999999993,0.2532013861386134
1.6081218719482422,0.06045479999999994,0.2441754455445539
1.684122085571289,0.07187403999999997,0.24465049504950437
1.7601213455200195,0.07292959999999996,0.2532013861386134
1.8361260890960693,0.07465687999999998,0.22992396039603907
1.912001609802246,0.07292959999999996,0.24892594059405884
1.9881236553192139,0.07292959999999996,0.2437003960396035
2.0641250610351562,0.07552052,0.2574768316831679
2.1401257514953613,0.08214176,0.23942495049504897
2.2161242961883545,0.09336908000000006,0.2574768316831679
2.292123556137085,0.09164180000000002,0.24892594059405887
2.368124008178711,0.09164180000000002,0.2437003960396035
2.444122552871704,0.09164180000000002,0.2707782178217819
2.5201265811920166,0.09164180000000002,0.26602772277227693
2.5961053371429443,0.09999032000000008,0.23942495049504897
2.6721267700195312,0.11208128000000002,0.24465049504950437
2.7481253147125244,0.1103540000000001,0.24892594059405884
2.8241236209869385,0.1103540000000001,0.24465049504950437
2.9001288414001465,0.1103540000000001,0.2574768316831679
2.976121187210083,0.11313684000000006,0.2574768316831679
3.052090644836426,0.1103540000000001,0.26697782178217777
3.127967596054077,0.11591968000000001,0.23942495049504897
3.204123020172119,0.1290661999999999,0.24465049504950437
3.280123472213745,0.1290661999999999,0.2532013861386134
3.3561246395111084,0.1290661999999999,0.25320138613861337
