Time(s),Voltage(V),Current(mA)
0.0,-0.7837053199999999,-3.2764164356435637
0.15199995040893555,0.02303040000000008,-3.7538411881188125
0.23213505744934082,0.02859607999999999,-1.7534077227722764
0.3081660270690918,0.04356583999999989,-1.0755120792079205
0.3841571807861328,0.06429319999999995,-0.7448776237623764
0.4601583480834961,0.07379323999999997,-0.5035524752475251
0.5361597537994385,0.08300540000000001,-0.41566831683168326
0.6161618232727051,0.09720748000000005,-0.34108554455445533
0.6921584606170654,0.11783888000000002,-0.35058653465346523
0.7681617736816406,0.13463187999999995,-0.3648380198019801
0.8441629409790039,0.14777839999999998,-0.3230336633663364
0.920158863067627,0.15334408000000002,-0.25795188118811835
0.9959995746612549,0.17109668000000008,-0.2437003960396035
1.0721590518951416,0.18788968,-0.2199479207920787
1.1481504440307617,0.1991169999999999,-0.1790936633663359
1.2241575717926025,0.2067937999999999,-0.16531722772277146
1.300156593322754,0.22579387999999997,-0.226123564356435
1.3761565685272217,0.24450608,-0.3553370297029702
1.452157735824585,0.25842028000000006,-0.48027504950495076
1.5281589031219482,0.273486,-0.5410813861386143
1.6161589622497559,0.27914764,-0.6246900990099018
1.6921606063842773,0.2969002399999999,-0.7724304950495047
1.7681605815887451,0.31657203999999994,-0.9724263366336627
1.8441553115844727,0.32511248000000004,-1.0189811881188113
1.920163631439209,0.33528424000000007,-1.08453801980198
1.996126413345337,0.3512135999999999,-1.297835247524753
2.0721566677093506,0.36906216,-1.4702782178217828
2.148157835006714,0.38422384,-1.650797029702969
2.2241592407226562,0.3963148,-1.6930764356435635
2.300156593322754,0.40581484,-1.7909366336633656
2.376157522201538,0.42164824,-1.9244255445544554
2.452157735824585,0.4403604399999999,-2.1339223762376243
2.5280706882476807,0.44986048,-2.1519742574257434
2.616159439086914,0.46022415999999994,-2.2218065346534663
2.692068576812744,0.47692120000000005,-2.3524451485148514
2.7681503295898438,0.506189,-2.4640817821782166
2.8440301418304443,0.51261832,-2.52441306930693
2.920158863067627,0.522982,-2.407550891089108
2.9961345195770264,0.5342093200000001,-2.2959142574257427
3.0721499919891357,0.5462043200000001,-2.2028045544554464
3.1481480598449707,0.5687549199999999,-2.050788712871287
3.2241549491882324,0.5877549999999999,-1.9572039603960398
3.3001537322998047,0.59610352,-1.8042380198019796
3.3760621547698975,0.6064672,-1.7624336633663362
3.452155590057373,0.6242198,-1.6968768316831675
3.528132438659668,0.6392855200000002,-1.6778748514851476
3.6239991188049316,0.6515684000000002,-1.5486613861386123
3.7005228996276855,0.65895732,-1.5439108910891077
3.776496648788452,0.6776695199999999,-1.5391603960396028
3.852522611618042,0.69638172,-1.5439108910891077
